antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Tomatoes'}),frozenset({'Bananas'}),0.344,0.32,0.122,0.3546511627906977,1.1082848837209303,1.0,0.01192,1.0536936936936936,0.1489404238304678,0.22509225092250926,0.05095759233926131,0.36795058139534886
frozenset({'Bananas'}),frozenset({'Tomatoes'}),0.32,0.344,0.122,0.38125,1.1082848837209303,1.0,0.01192,1.0602020202020201,0.14368370298939248,0.22509225092250926,0.05678353658536586,0.36795058139534886
frozenset({'Bread'}),frozenset({'Bananas'}),0.306,0.32,0.108,0.35294117647058826,1.1029411764705883,1.0,0.010079999999999992,1.050909090909091,0.13448607108549462,0.2084942084942085,0.04844290657439449,0.3452205882352941
frozenset({'Bananas'}),frozenset({'Bread'}),0.32,0.306,0.108,0.33749999999999997,1.102941176470588,1.0,0.010079999999999992,1.0475471698113206,0.13725490196078421,0.2084942084942085,0.04538904899135443,0.3452205882352941
frozenset({'Tomatoes'}),frozenset({'Beef'}),0.344,0.338,0.126,0.3662790697674419,1.0836658868859228,1.0,0.009728,1.044623853211009,0.11769260549748355,0.22661870503597126,0.042717628047495286,0.36953006742809963
frozenset({'Beef'}),frozenset({'Tomatoes'}),0.338,0.344,0.126,0.37278106508875736,1.0836658868859226,1.0,0.009728,1.0458867924528301,0.11662590514554264,0.22661870503597126,0.04387357483042284,0.36953006742809963
frozenset({'Eggs'}),frozenset({'Bananas'}),0.272,0.32,0.092,0.338235294117647,1.056985294117647,1.0,0.004959999999999992,1.0275555555555553,0.07405637840420438,0.18399999999999997,0.02681660899653973,0.31286764705882353
frozenset({'Bananas'}),frozenset({'Eggs'}),0.32,0.272,0.092,0.2875,1.056985294117647,1.0,0.004959999999999992,1.0217543859649123,0.07928388746803058,0.18399999999999997,0.021291208791208733,0.31286764705882353
frozenset({'Beef'}),frozenset({'Apples'}),0.338,0.312,0.11,0.3254437869822485,1.04308906084054,1.0,0.0045439999999999925,1.0199298245614035,0.06240043943971427,0.2037037037037037,0.01954038805559378,0.3390039447731755
frozenset({'Apples'}),frozenset({'Beef'}),0.312,0.338,0.11,0.3525641025641026,1.04308906084054,1.0,0.0045439999999999925,1.0224950495049505,0.06004228329809715,0.2037037037037037,0.02200015493066853,0.3390039447731755
frozenset({'Apples'}),frozenset({'Cheese'}),0.312,0.296,0.096,0.3076923076923077,1.0395010395010396,1.0,0.0036480000000000123,1.016888888888889,0.05523255813953507,0.1875,0.016608391608391653,0.316008316008316
frozenset({'Cheese'}),frozenset({'Apples'}),0.296,0.312,0.096,0.32432432432432434,1.0395010395010396,1.0,0.0036480000000000123,1.01824,0.053977272727272915,0.1875,0.01791326209930864,0.316008316008316
frozenset({'Beef'}),frozenset({'Butter'}),0.338,0.274,0.096,0.28402366863905326,1.0365827322593184,1.0,0.0033879999999999882,1.014,0.053310674723061245,0.18604651162790695,0.013806706114398402,0.3171943160713514
frozenset({'Butter'}),frozenset({'Beef'}),0.274,0.338,0.096,0.3503649635036496,1.0365827322593182,1.0,0.0033879999999999882,1.0190337078651683,0.048611111111110945,0.18604651162790695,0.018678192603700263,0.3171943160713514
frozenset({'Bananas'}),frozenset({'Cheese'}),0.32,0.296,0.098,0.30625,1.0346283783783785,1.0,0.003280000000000005,1.0147747747747748,0.049219687875150145,0.1891891891891892,0.014559659090909144,0.3186655405405405
frozenset({'Cheese'}),frozenset({'Bananas'}),0.296,0.32,0.098,0.3310810810810811,1.0346283783783783,1.0,0.003280000000000005,1.0165656565656567,0.04754174397031548,0.1891891891891892,0.01629570747217806,0.3186655405405405
frozenset({'Apples'}),frozenset({'Chicken'}),0.312,0.318,0.102,0.3269230769230769,1.0280599903241412,1.0,0.002783999999999995,1.0132571428571426,0.03967168262653892,0.19318181818181815,0.013083690503045342,0.3238388969521045
frozenset({'Chicken'}),frozenset({'Apples'}),0.318,0.312,0.102,0.32075471698113206,1.0280599903241412,1.0,0.002783999999999995,1.0128888888888887,0.04002070036225627,0.19318181818181815,0.012724879333040786,0.3238388969521045
frozenset({'Bread'}),frozenset({'Chicken'}),0.306,0.318,0.1,0.32679738562091504,1.0276647346569656,1.0,0.002692,1.0130679611650484,0.03878962536023055,0.19083969465648856,0.012899392406033773,0.32063139721297323
frozenset({'Chicken'}),frozenset({'Bread'}),0.318,0.306,0.1,0.31446540880503143,1.0276647346569654,1.0,0.002692,1.012348623853211,0.039472140762463345,0.19083969465648856,0.012197995396298903,0.32063139721297323
frozenset({'Milk'}),frozenset({'Butter'}),0.32,0.274,0.09,0.28125,1.0264598540145984,1.0,0.0023199999999999887,1.0100869565217392,0.03790849673202597,0.17857142857142852,0.009986225895316775,0.30485857664233573
frozenset({'Butter'}),frozenset({'Milk'}),0.274,0.32,0.09,0.3284671532846715,1.0264598540145984,1.0,0.0023199999999999887,1.0126086956521738,0.035506580961126244,0.17857142857142852,0.012451696006869874,0.30485857664233573
