TransactionID,Item
T0048,"['Milk', 'Tomatoes']"
T0049,"['Bananas', 'Apples', 'Beef', 'Eggs']"
T0050,['Milk']
T0051,"['Bananas', 'Milk', 'Eggs', 'Beef']"
T0052,"['Chicken', 'Butter', 'Apples', 'Milk', 'Beef']"
T0053,"['Milk', 'Chicken']"
T0054,['Bread']
T0055,"['Bread', 'Milk', 'Eggs', 'Beef', 'Chicken']"
T0056,"['Eggs', 'Apples', 'Bread', 'Milk']"
T0057,['Apples']
T0058,"['Cheese', 'Apples', 'Chicken', 'Milk']"
T0059,"['Eggs', 'Bread', 'Beef']"
T0060,"['Bread', 'Tomatoes', 'Chicken']"
T0061,"['Butter', 'Bread', 'Milk', 'Apples', 'Chicken']"
T0062,"['Milk', 'Eggs', 'Apples', 'Bread', 'Cheese']"
T0063,"['Tomatoes', 'Bread', 'Milk', 'Eggs', 'Bananas']"
T0064,"['Beef', 'Bananas', 'Cheese', 'Milk', 'Tomatoes']"
T0065,"['Eggs', 'Cheese', 'Apples']"
T0066,"['Chicken', 'Bananas', 'Milk']"
T0067,"['Tomatoes', 'Milk', 'Beef', 'Cheese']"
T0068,"['Cheese', 'Butter', 'Bananas', 'Bread', 'Milk']"
T0069,"['Butter', 'Chicken', 'Cheese']"
T0070,"['Bread', 'Beef', 'Cheese', 'Bananas', 'Tomatoes']"
T0071,"['Milk', 'Tomatoes', 'Butter']"
T0072,"['Tomatoes', 'Eggs', 'Bananas']"
T0073,"['Beef', 'Chicken', 'Cheese']"
T0074,['Apples']
T0075,['Bread']
T0076,"['Cheese', 'Butter']"
T0077,"['Beef', 'Apples', 'Bread', 'Chicken']"
T0078,"['Beef', 'Bread']"
T0079,"['Beef', 'Butter', 'Apples', 'Milk', 'Bread']"
T0080,"['Bread', 'Bananas', 'Eggs']"
T0081,"['Milk', 'Bananas']"
T0082,"['Apples', 'Butter', 'Eggs', 'Tomatoes', 'Milk']"
T0083,"['Bread', 'Butter', 'Bananas', 'Apples']"
T0084,"['Cheese', 'Butter']"
T0085,['Apples']
T0086,"['Eggs', 'Tomatoes', 'Chicken', 'Butter']"
T0087,"['Eggs', 'Bread']"
T0088,"['Apples', 'Bananas']"
T0089,['Cheese']
T0090,"['Apples', 'Beef', 'Bananas', 'Bread', 'Tomatoes']"
T0091,"['Tomatoes', 'Cheese']"
T0092,['Tomatoes']
T0093,"['Bananas', 'Apples', 'Milk']"
T0094,"['Eggs', 'Cheese', 'Bread', 'Bananas', 'Tomatoes']"
T0095,"['Beef', 'Eggs', 'Bananas', 'Tomatoes', 'Bread']"
T0096,"['Tomatoes', 'Bananas', 'Milk']"
T0097,"['Beef', 'Cheese', 'Apples']"
T0098,"['Cheese', 'Beef', 'Butter', 'Milk']"
T0099,"['Butter', 'Cheese', 'Apples', 'Beef']"
T0100,"['Cheese', 'Eggs', 'Apples']"
T0101,"['Bananas', 'Chicken', 'Beef', 'Eggs', 'Tomatoes']"
T0102,"['Chicken', 'Butter', 'Milk', 'Beef', 'Cheese']"
T0103,"['Bananas', 'Milk', 'Eggs', 'Tomatoes', 'Butter']"
T0104,"['Butter', 'Bread']"
T0105,"['Chicken', 'Milk']"
T0106,"['Tomatoes', 'Eggs', 'Apples', 'Beef']"
T0107,"['Butter', 'Bread']"
T0108,['Apples']
T0109,"['Beef', 'Chicken']"
T0110,"['Eggs', 'Milk', 'Chicken', 'Beef', 'Tomatoes']"
T0111,"['Beef', 'Bananas', 'Chicken', 'Cheese', 'Tomatoes']"
T0112,"['Beef', 'Chicken', 'Butter', 'Bananas']"
T0113,"['Cheese', 'Eggs', 'Tomatoes', 'Apples']"
T0114,"['Chicken', 'Eggs', 'Cheese', 'Beef', 'Bread']"
T0115,"['Eggs', 'Cheese', 'Bananas']"
T0116,"['Milk', 'Butter', 'Beef', 'Tomatoes', 'Eggs']"
T0117,"['Eggs', 'Milk']"
T0118,"['Bananas', 'Beef', 'Chicken', 'Eggs']"
T0119,"['Apples', 'Tomatoes']"
T0120,"['Bread', 'Apples', 'Chicken', 'Tomatoes', 'Butter']"
T0121,"['Apples', 'Beef', 'Eggs', 'Chicken']"
T0122,"['Apples', 'Chicken', 'Bread']"
T0123,"['Apples', 'Butter', 'Chicken']"
T0124,"['Beef', 'Bread', 'Apples', 'Cheese', 'Chicken']"
T0125,['Milk']
T0126,"['Butter', 'Chicken', 'Tomatoes', 'Bread']"
T0127,"['Bananas', 'Eggs', 'Chicken', 'Butter']"
T0128,"['Cheese', 'Apples', 'Tomatoes', 'Beef']"
T0129,"['Bread', 'Beef', 'Tomatoes', 'Butter']"
T0130,['Bread']
T0131,['Eggs']
T0132,['Tomatoes']
T0133,"['Butter', 'Chicken']"
T0134,['Tomatoes']
T0135,"['Cheese', 'Bananas', 'Butter', 'Tomatoes']"
T0136,['Butter']
T0137,['Tomatoes']
T0138,"['Tomatoes', 'Apples', 'Beef']"
T0139,"['Milk', 'Eggs']"
T0140,"['Tomatoes', 'Milk', 'Bread']"
T0141,"['Apples', 'Bananas', 'Milk', 'Cheese', 'Beef']"
T0142,['Apples']
T0143,['Apples']
T0144,"['Butter', 'Apples', 'Tomatoes', 'Bananas']"
T0145,"['Tomatoes', 'Beef', 'Chicken']"
T0146,"['Tomatoes', 'Cheese', 'Bananas', 'Apples']"
T0147,['Cheese']
T0148,"['Chicken', 'Apples']"
T0149,['Chicken']
T0150,"['Chicken', 'Eggs']"
T0151,"['Bananas', 'Cheese', 'Beef']"
T0152,['Beef']
T0153,['Eggs']
T0154,"['Chicken', 'Beef', 'Eggs', 'Bananas']"
T0155,"['Chicken', 'Bread', 'Milk', 'Butter']"
T0156,"['Eggs', 'Cheese', 'Bananas', 'Tomatoes']"
T0157,"['Bananas', 'Apples', 'Tomatoes', 'Butter', 'Chicken']"
T0158,"['Cheese', 'Tomatoes', 'Eggs']"
T0159,"['Bananas', 'Milk']"
T0160,"['Butter', 'Eggs', 'Beef', 'Bananas', 'Chicken']"
T0161,"['Beef', 'Cheese', 'Milk', 'Apples', 'Chicken']"
T0162,"['Bananas', 'Butter']"
T0163,['Beef']
T0164,"['Bread', 'Tomatoes', 'Cheese']"
T0165,"['Chicken', 'Milk']"
T0166,"['Cheese', 'Chicken', 'Beef', 'Eggs', 'Butter']"
T0167,['Cheese']
T0168,['Milk']
T0169,"['Milk', 'Bread', 'Butter', 'Tomatoes']"
T0170,"['Milk', 'Eggs', 'Tomatoes']"
T0171,"['Tomatoes', 'Eggs', 'Apples', 'Beef']"
T0172,"['Tomatoes', 'Apples', 'Cheese']"
T0173,"['Bread', 'Milk', 'Eggs', 'Bananas', 'Beef']"
T0174,['Butter']
T0175,"['Beef', 'Milk']"
T0176,['Apples']
T0177,"['Chicken', 'Cheese', 'Bread', 'Milk', 'Butter']"
T0178,"['Chicken', 'Milk', 'Eggs']"
T0179,"['Eggs', 'Apples', 'Milk', 'Cheese', 'Chicken']"
T0180,"['Cheese', 'Butter']"
T0181,['Butter']
T0182,"['Tomatoes', 'Cheese', 'Chicken', 'Bread', 'Eggs']"
T0183,"['Apples', 'Cheese', 'Chicken']"
T0184,['Tomatoes']
T0185,"['Bananas', 'Cheese', 'Bread', 'Chicken']"
T0186,"['Tomatoes', 'Bread', 'Cheese', 'Chicken', 'Beef']"
T0187,"['Chicken', 'Beef']"
T0188,"['Cheese', 'Butter', 'Apples', 'Bananas']"
T0189,['Chicken']
T0190,"['Bananas', 'Tomatoes', 'Milk', 'Apples']"
T0191,"['Apples', 'Chicken', 'Cheese']"
T0192,"['Beef', 'Bread', 'Chicken', 'Tomatoes']"
T0193,"['Bananas', 'Milk', 'Apples']"
T0194,['Beef']
T0195,"['Bread', 'Eggs', 'Bananas', 'Cheese']"
T0196,"['Chicken', 'Bread', 'Eggs', 'Butter']"
T0197,"['Cheese', 'Chicken']"
T0198,"['Milk', 'Bread', 'Eggs', 'Bananas']"
T0199,"['Beef', 'Bread', 'Apples']"
T0200,"['Milk', 'Chicken']"
T0201,"['Chicken', 'Cheese']"
T0202,"['Apples', 'Chicken', 'Beef']"
T0203,"['Beef', 'Butter', 'Apples', 'Milk']"
T0204,"['Butter', 'Milk', 'Cheese', 'Apples', 'Eggs']"
T0205,"['Cheese', 'Bread', 'Tomatoes', 'Bananas', 'Butter']"
T0206,"['Chicken', 'Butter', 'Tomatoes', 'Cheese', 'Eggs']"
T0207,"['Beef', 'Tomatoes', 'Apples']"
T0208,"['Eggs', 'Tomatoes', 'Apples']"
T0209,"['Bread', 'Bananas', 'Chicken', 'Beef']"
T0210,"['Butter', 'Chicken', 'Bread', 'Milk']"
T0211,"['Bananas', 'Milk', 'Chicken', 'Bread', 'Cheese']"
T0212,['Butter']
T0213,"['Milk', 'Chicken']"
T0214,"['Tomatoes', 'Apples', 'Milk']"
T0215,"['Apples', 'Bananas', 'Chicken', 'Tomatoes', 'Cheese']"
T0216,"['Milk', 'Eggs', 'Cheese', 'Tomatoes', 'Bananas']"
T0217,"['Milk', 'Tomatoes', 'Chicken', 'Beef']"
T0218,"['Bread', 'Tomatoes', 'Bananas']"
T0219,"['Bananas', 'Tomatoes', 'Apples']"
T0220,"['Beef', 'Apples']"
T0221,"['Butter', 'Tomatoes']"
T0222,"['Apples', 'Eggs', 'Chicken', 'Cheese', 'Milk']"
T0223,"['Cheese', 'Chicken', 'Tomatoes', 'Bananas']"
T0224,"['Cheese', 'Beef', 'Butter', 'Bread']"
T0225,"['Tomatoes', 'Cheese', 'Apples']"
T0226,"['Chicken', 'Cheese', 'Eggs']"
T0227,"['Milk', 'Eggs', 'Apples', 'Cheese']"
T0228,"['Cheese', 'Tomatoes', 'Bread', 'Apples', 'Bananas']"
T0229,"['Bread', 'Tomatoes', 'Chicken']"
T0230,"['Tomatoes', 'Bananas']"
T0231,"['Tomatoes', 'Cheese']"
T0232,"['Milk', 'Bread']"
T0233,"['Bread', 'Bananas', 'Butter', 'Tomatoes']"
T0234,"['Apples', 'Butter', 'Eggs']"
T0235,"['Bananas', 'Beef', 'Cheese', 'Apples', 'Milk']"
T0236,"['Cheese', 'Bananas', 'Milk', 'Eggs']"
T0237,"['Eggs', 'Apples']"
T0238,"['Milk', 'Apples', 'Bread']"
T0239,"['Milk', 'Chicken', 'Bananas', 'Beef', 'Apples']"
T0240,"['Tomatoes', 'Apples', 'Bananas']"
T0241,"['Chicken', 'Bread']"
T0242,"['Bananas', 'Eggs', 'Milk', 'Tomatoes', 'Beef']"
T0243,"['Apples', 'Milk', 'Butter']"
T0244,['Cheese']
T0245,['Milk']
T0246,"['Butter', 'Apples', 'Chicken', 'Tomatoes', 'Bananas']"
T0247,"['Apples', 'Butter', 'Tomatoes', 'Bananas', 'Bread']"
T0248,"['Apples', 'Cheese', 'Bread', 'Bananas', 'Butter']"
T0249,"['Chicken', 'Eggs', 'Bananas', 'Bread']"
T0250,"['Beef', 'Bananas', 'Bread']"
T0251,"['Eggs', 'Milk', 'Chicken']"
T0252,"['Tomatoes', 'Bread']"
T0253,"['Eggs', 'Butter', 'Tomatoes']"
T0254,"['Eggs', 'Tomatoes', 'Beef', 'Butter', 'Milk']"
T0255,['Cheese']
T0256,"['Beef', 'Cheese']"
T0257,['Bread']
T0258,['Bananas']
T0259,"['Bananas', 'Bread', 'Butter', 'Chicken', 'Beef']"
T0260,"['Beef', 'Milk', 'Tomatoes', 'Eggs']"
T0261,"['Beef', 'Milk', 'Chicken']"
T0262,"['Tomatoes', 'Bread']"
T0263,"['Cheese', 'Chicken', 'Bread', 'Beef', 'Eggs']"
T0264,"['Milk', 'Chicken', 'Beef', 'Bread']"
T0265,"['Tomatoes', 'Butter', 'Milk']"
T0266,"['Tomatoes', 'Beef', 'Bananas']"
T0267,"['Beef', 'Cheese', 'Chicken', 'Tomatoes', 'Apples']"
T0268,['Milk']
T0269,"['Eggs', 'Apples', 'Chicken', 'Milk', 'Tomatoes']"
T0270,"['Apples', 'Tomatoes', 'Milk', 'Butter']"
T0271,"['Cheese', 'Bananas', 'Butter']"
T0272,"['Milk', 'Tomatoes', 'Beef', 'Bread']"
T0273,['Bananas']
T0274,"['Bread', 'Beef', 'Bananas', 'Chicken', 'Tomatoes']"
T0275,"['Apples', 'Bread', 'Cheese']"
T0276,"['Bananas', 'Milk', 'Eggs']"
T0277,"['Eggs', 'Milk', 'Bananas', 'Apples']"
T0278,"['Milk', 'Cheese', 'Eggs']"
T0279,"['Tomatoes', 'Beef', 'Bread', 'Cheese', 'Bananas']"
T0280,"['Bread', 'Butter', 'Cheese']"
T0281,"['Bananas', 'Tomatoes', 'Bread']"
T0282,"['Tomatoes', 'Apples']"
T0283,"['Bread', 'Milk']"
T0284,"['Eggs', 'Apples', 'Beef', 'Tomatoes', 'Butter']"
T0285,"['Cheese', 'Bananas', 'Milk']"
T0286,"['Butter', 'Bread']"
T0287,['Cheese']
T0288,"['Chicken', 'Tomatoes', 'Apples', 'Butter']"
T0289,"['Milk', 'Bananas', 'Apples', 'Bread', 'Butter']"
T0290,"['Chicken', 'Beef', 'Cheese', 'Bread', 'Milk']"
T0291,"['Bread', 'Tomatoes', 'Eggs', 'Butter', 'Milk']"
T0292,"['Cheese', 'Tomatoes']"
T0293,['Bread']
T0294,"['Butter', 'Tomatoes', 'Apples', 'Cheese']"
T0295,"['Beef', 'Tomatoes']"
T0296,"['Milk', 'Apples', 'Bread']"
T0297,['Chicken']
T0298,"['Tomatoes', 'Apples', 'Beef']"
T0299,"['Cheese', 'Milk', 'Apples', 'Bread']"
T0300,"['Tomatoes', 'Chicken']"
T0301,"['Milk', 'Apples', 'Tomatoes']"
T0302,"['Tomatoes', 'Apples', 'Milk', 'Eggs']"
T0303,"['Eggs', 'Bananas', 'Butter']"
T0304,"['Milk', 'Beef', 'Eggs', 'Apples', 'Butter']"
T0305,"['Eggs', 'Milk']"
T0306,"['Eggs', 'Butter', 'Beef']"
T0307,['Butter']
T0308,"['Chicken', 'Tomatoes', 'Bananas', 'Apples']"
T0309,"['Butter', 'Chicken', 'Milk']"
T0310,"['Cheese', 'Tomatoes', 'Bread', 'Butter']"
T0311,['Cheese']
T0312,"['Bread', 'Tomatoes', 'Bananas', 'Apples']"
T0313,['Milk']
T0314,"['Beef', 'Apples', 'Chicken', 'Cheese', 'Tomatoes']"
T0315,['Chicken']
T0316,"['Bananas', 'Chicken']"
T0317,"['Bread', 'Chicken']"
T0318,"['Milk', 'Beef', 'Butter']"
T0319,"['Chicken', 'Tomatoes']"
T0320,"['Tomatoes', 'Butter', 'Bananas', 'Beef', 'Apples']"
T0321,"['Bananas', 'Bread', 'Tomatoes', 'Beef']"
T0322,['Beef']
T0323,"['Cheese', 'Tomatoes', 'Butter', 'Chicken']"
T0324,"['Butter', 'Bananas', 'Cheese', 'Beef', 'Apples']"
T0325,"['Butter', 'Milk', 'Cheese', 'Chicken']"
T0326,"['Butter', 'Beef', 'Milk']"
T0327,"['Beef', 'Bananas', 'Bread', 'Butter']"
T0328,"['Eggs', 'Bananas']"
T0329,"['Eggs', 'Tomatoes', 'Butter', 'Milk']"
T0330,"['Milk', 'Beef', 'Bread']"
T0331,"['Tomatoes', 'Butter', 'Apples']"
T0332,"['Butter', 'Tomatoes']"
T0333,"['Bread', 'Apples', 'Bananas', 'Chicken']"
T0334,"['Chicken', 'Cheese']"
T0335,"['Eggs', 'Beef', 'Tomatoes', 'Butter']"
T0336,"['Bananas', 'Chicken']"
T0337,"['Apples', 'Beef', 'Tomatoes']"
T0338,"['Tomatoes', 'Butter']"
T0339,['Chicken']
T0340,"['Milk', 'Beef', 'Tomatoes', 'Butter', 'Bread']"
T0341,"['Cheese', 'Chicken']"
T0342,"['Apples', 'Milk']"
T0343,"['Bananas', 'Bread', 'Apples', 'Beef']"
T0344,"['Bananas', 'Eggs', 'Apples', 'Bread', 'Butter']"
T0345,['Bananas']
T0346,"['Butter', 'Tomatoes', 'Bread']"
T0347,"['Butter', 'Chicken', 'Beef', 'Cheese']"
T0348,['Bread']
T0349,"['Butter', 'Beef']"
T0350,"['Beef', 'Apples', 'Milk', 'Tomatoes', 'Butter']"
T0351,"['Milk', 'Bread', 'Eggs']"
T0352,"['Chicken', 'Milk', 'Beef', 'Apples', 'Eggs']"
T0353,"['Bread', 'Beef', 'Eggs', 'Bananas', 'Milk']"
T0354,"['Bread', 'Bananas', 'Eggs', 'Cheese']"
T0355,"['Milk', 'Beef']"
T0356,['Beef']
T0357,"['Beef', 'Tomatoes', 'Bread', 'Eggs', 'Apples']"
T0358,"['Bananas', 'Cheese', 'Bread', 'Butter']"
T0359,"['Eggs', 'Milk', 'Bananas']"
T0360,['Bananas']
T0361,"['Butter', 'Chicken', 'Beef']"
T0362,"['Butter', 'Milk']"
T0363,"['Bread', 'Cheese', 'Eggs', 'Tomatoes']"
T0364,['Bananas']
T0365,"['Apples', 'Beef', 'Chicken', 'Butter', 'Bread']"
T0366,"['Cheese', 'Bananas']"
T0367,['Bananas']
T0368,['Bananas']
T0369,"['Chicken', 'Apples', 'Bananas', 'Milk']"
T0370,"['Bananas', 'Beef', 'Cheese', 'Apples']"
T0371,"['Milk', 'Apples', 'Butter', 'Cheese']"
T0372,"['Milk', 'Tomatoes', 'Bananas']"
T0373,"['Cheese', 'Chicken', 'Apples']"
T0374,"['Bananas', 'Chicken', 'Bread', 'Tomatoes']"
T0375,"['Apples', 'Cheese', 'Bread', 'Chicken', 'Bananas']"
T0376,"['Bananas', 'Beef', 'Butter', 'Bread']"
T0377,"['Chicken', 'Bread', 'Butter', 'Beef', 'Milk']"
T0378,"['Bananas', 'Apples', 'Bread']"
T0379,"['Chicken', 'Bananas']"
T0380,"['Milk', 'Butter', 'Bananas', 'Eggs']"
T0381,"['Eggs', 'Milk', 'Bread']"
T0382,"['Chicken', 'Beef']"
T0383,"['Milk', 'Cheese', 'Beef', 'Bananas', 'Eggs']"
T0384,"['Cheese', 'Chicken', 'Eggs', 'Bread', 'Milk']"
T0385,"['Butter', 'Chicken', 'Milk', 'Apples']"
T0386,"['Bananas', 'Milk', 'Cheese']"
T0387,"['Butter', 'Bananas']"
T0388,"['Milk', 'Eggs']"
T0389,"['Chicken', 'Bread']"
T0390,"['Tomatoes', 'Bananas', 'Chicken', 'Apples', 'Cheese']"
T0391,"['Milk', 'Tomatoes', 'Cheese', 'Eggs', 'Bananas']"
T0392,"['Beef', 'Apples', 'Tomatoes', 'Chicken']"
T0393,['Butter']
T0394,['Chicken']
T0395,"['Bananas', 'Butter', 'Beef', 'Apples', 'Milk']"
T0396,"['Bread', 'Milk', 'Butter', 'Chicken', 'Beef']"
T0397,"['Eggs', 'Bananas', 'Cheese']"
T0398,"['Eggs', 'Beef', 'Cheese']"
T0399,"['Tomatoes', 'Beef', 'Milk']"
T0400,"['Tomatoes', 'Butter']"
T0401,"['Tomatoes', 'Bananas', 'Bread', 'Apples', 'Chicken']"
T0402,['Tomatoes']
T0403,"['Tomatoes', 'Apples']"
T0404,['Chicken']
T0405,"['Cheese', 'Tomatoes', 'Chicken', 'Milk', 'Bananas']"
T0406,"['Chicken', 'Milk', 'Bread']"
T0407,"['Apples', 'Chicken', 'Beef', 'Milk']"
T0408,"['Butter', 'Bananas', 'Beef', 'Chicken', 'Tomatoes']"
T0409,"['Bananas', 'Beef']"
T0410,['Bananas']
T0411,"['Milk', 'Cheese', 'Chicken', 'Tomatoes']"
T0412,['Bread']
T0413,"['Tomatoes', 'Apples', 'Eggs', 'Beef']"
T0414,"['Tomatoes', 'Bananas', 'Eggs']"
T0415,"['Chicken', 'Beef']"
T0416,"['Cheese', 'Chicken', 'Bread', 'Beef']"
T0417,"['Chicken', 'Eggs', 'Beef', 'Cheese', 'Butter']"
T0418,['Cheese']
T0419,"['Chicken', 'Cheese', 'Bread', 'Apples', 'Tomatoes']"
T0420,"['Cheese', 'Bananas']"
T0421,"['Bananas', 'Bread', 'Apples', 'Beef']"
T0422,"['Eggs', 'Bananas', 'Cheese', 'Bread', 'Tomatoes']"
T0423,"['Beef', 'Cheese', 'Milk', 'Chicken']"
T0424,"['Bananas', 'Tomatoes', 'Beef', 'Apples']"
T0425,"['Tomatoes', 'Beef']"
T0426,"['Bread', 'Tomatoes', 'Beef', 'Milk', 'Bananas']"
T0427,"['Beef', 'Chicken', 'Butter', 'Cheese']"
T0428,"['Bananas', 'Tomatoes']"
T0429,"['Tomatoes', 'Cheese', 'Bananas', 'Beef']"
T0430,"['Chicken', 'Cheese', 'Tomatoes', 'Apples', 'Bread']"
T0431,"['Milk', 'Apples', 'Cheese']"
T0432,['Tomatoes']
T0433,"['Tomatoes', 'Eggs', 'Bread']"
T0434,"['Butter', 'Beef', 'Apples', 'Milk']"
T0435,"['Bread', 'Milk']"
T0436,['Chicken']
T0437,"['Butter', 'Apples', 'Eggs', 'Chicken']"
T0438,"['Chicken', 'Bread', 'Butter', 'Cheese', 'Milk']"
T0439,"['Chicken', 'Beef', 'Apples']"
T0440,"['Chicken', 'Beef']"
T0441,"['Bananas', 'Cheese', 'Chicken', 'Milk', 'Apples']"
T0442,"['Cheese', 'Eggs', 'Tomatoes', 'Apples', 'Butter']"
T0443,"['Chicken', 'Bananas']"
T0444,"['Beef', 'Cheese', 'Tomatoes']"
T0445,"['Beef', 'Apples', 'Tomatoes', 'Chicken', 'Butter']"
T0446,"['Cheese', 'Bread']"
T0447,['Bananas']
T0448,"['Chicken', 'Eggs', 'Beef']"
T0449,"['Beef', 'Cheese', 'Butter']"
T0450,"['Tomatoes', 'Eggs', 'Beef', 'Bread', 'Bananas']"
T0451,"['Eggs', 'Bread']"
T0452,"['Bananas', 'Chicken', 'Milk', 'Tomatoes']"
T0453,"['Bread', 'Beef']"
T0454,"['Chicken', 'Tomatoes', 'Eggs', 'Apples']"
T0455,"['Cheese', 'Bread', 'Milk']"
T0456,"['Eggs', 'Beef', 'Bread', 'Milk', 'Tomatoes']"
T0457,['Apples']
T0458,"['Cheese', 'Bread']"
T0459,"['Tomatoes', 'Milk', 'Bananas']"
T0460,"['Beef', 'Tomatoes', 'Chicken', 'Milk']"
T0461,"['Cheese', 'Eggs', 'Milk', 'Butter']"
T0462,"['Cheese', 'Butter', 'Bread', 'Bananas']"
T0463,"['Tomatoes', 'Eggs', 'Butter']"
T0464,"['Apples', 'Beef', 'Bananas', 'Bread']"
T0465,['Butter']
T0466,"['Bananas', 'Eggs', 'Bread', 'Butter']"
T0467,"['Chicken', 'Cheese']"
T0468,"['Tomatoes', 'Bread', 'Cheese']"
T0469,"['Eggs', 'Bread', 'Milk']"
T0470,"['Butter', 'Apples', 'Cheese']"
T0471,['Cheese']
T0472,"['Eggs', 'Tomatoes', 'Butter', 'Beef', 'Milk']"
T0473,"['Bananas', 'Apples', 'Chicken', 'Beef', 'Cheese']"
T0474,"['Eggs', 'Milk']"
T0475,"['Beef', 'Bananas', 'Milk', 'Cheese']"
T0476,['Beef']
T0477,"['Tomatoes', 'Beef']"
T0478,"['Bananas', 'Beef']"
T0479,['Eggs']
T0480,"['Chicken', 'Milk', 'Tomatoes', 'Apples', 'Bread']"
T0481,"['Beef', 'Apples']"
T0482,"['Bread', 'Beef', 'Chicken', 'Bananas', 'Butter']"
T0483,['Apples']
T0484,['Eggs']
T0485,['Bread']
T0486,"['Milk', 'Beef', 'Bread']"
T0487,"['Bread', 'Cheese', 'Apples', 'Milk']"
T0488,"['Apples', 'Bananas']"
T0489,"['Apples', 'Tomatoes', 'Milk', 'Bananas']"
T0490,"['Butter', 'Bananas', 'Milk', 'Chicken', 'Cheese']"
T0491,"['Butter', 'Eggs', 'Bread', 'Apples', 'Chicken']"
T0492,"['Beef', 'Apples', 'Tomatoes', 'Chicken']"
T0493,"['Chicken', 'Bananas']"
T0494,"['Eggs', 'Milk', 'Bread']"
T0495,"['Tomatoes', 'Bread', 'Eggs', 'Milk']"
T0496,['Tomatoes']
T0497,"['Tomatoes', 'Bread', 'Eggs', 'Bananas']"
T0498,"['Chicken', 'Eggs', 'Beef', 'Apples']"
T0499,['Butter']
T0500,"['Eggs', 'Bananas', 'Beef']"
